name,url,genre,subject,topic
Insight Citizen Science,https://insightcitizenscience.com/,id,nature,plants
Monkey Health Explorer,https://www.zooniverse.org/projects/mbarrierz/monkey-health-explorer,id,nature,animals
Etch A Cell - ER,https://www.zooniverse.org/projects/h-spiers/etch-a-cell-er,id,nature,micro
Galaxy Zoo,https://www.zooniverse.org/projects/zookeeper/galaxy-zoo/,id,space,stars
Cloudspotting on Mars,https://www.zooniverse.org/projects/marek-slipski/cloudspotting-on-mars,id,space,planets
Gravity Spy,https://www.zooniverse.org/projects/zooniverse/gravity-spy,id,space,gravity
Synaptic Protein Zoo,https://www.zooniverse.org/projects/reber199/synaptic-protein-zoo,id,med,genetics
Node Code Breakers,https://www.zooniverse.org/projects/effeli/node-code-breakers-looking-for-patterns-in-lymph-nodes,id,med,cellbio
Genome Detectives,https://www.zooniverse.org/projects/charrod/genome-detectives,id,med,health
Davy Notebooks Project,https://www.zooniverse.org/projects/humphrydavy/davy-notebooks-project,create,nature,plants
Davy Notebooks Project,https://www.zooniverse.org/projects/humphrydavy/davy-notebooks-project,create,nature,animals
Colony B,https://citizensciencegames.com/games/colony-b/,create,nature,micro
Citizen ASAS-SN,https://www.zooniverse.org/projects/tharinduj/citizen-asas-sn,create,space,stars
Planet Hunters NGT,https://www.zooniverse.org/projects/mschwamb/planet-hunters-ngts,create,space,planets
Interactive NASA Space Physics Ionosphere Radio Experiments,https://lookit.mit.edu/,create,space,gravity
Foldit,https://fold.it/about_foldit,create,med,genetics
Eyes on Eyeshttps://www.zooniverse.org/projects/lolasolebo/eyes-on-eyes,,create,med,cellbio
Stall Catchers,https://stallcatchers.com/main,create,med,health
Xplore! Wild Watch,https://www.inaturalist.org/projects/xplore-wild-watch,project,nature,plants
Habitat Network,https://www.habitatnetwork.org/Members.htm,project,nature,animals
Colony B,https://citizensciencegames.com/games/colony-b/,project,nature,micro
CREDO (Cosmic Ray Extremely Distributed Observatory),https://credo.science/,project,space,stars
Planet Four,https://www.zooniverse.org/projects/mschwamb/planet-four,project,space,planets
Gravity Spy,https://www.zooniverse.org/projects/zooniverse/gravity-spy,project,space,gravity
Phylo,https://phylo.cs.mcgill.ca/,project,med,genetics
Hero.Coli,http://herocoli.com/,project,med,cellbio
HMS NHS: The Nautical Health Service,https://www.zooniverse.org/projects/msalmon/hms-nhs-the-nautical-health-service,project,med,health
